sourceId,name,category,listUrl,listStatus,itemsFound,detailOkRatio,primaryIssue,suggestedAction,userDecision,userNote
ai-yxxw,人工智能学院新闻,科研学术,https://ai.sztu.edu.cn/xwzx/yxxw1.htm,LIST_FAIL (列表页 HTTP 503: https://ai.sztu.edu.cn/xwzx/yxxw1.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
music-djgz,音乐学院党建工作,党建,https://musicyyds.sztu.edu.cn/dwxg/djgz.htm,LIST_FAIL (列表页 HTTP 503: https://musicyyds.sztu.edu.cn/dwxg/djgz.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
kyb-xwdt,科研部新闻动态,科研学术,https://kyb.sztu.edu.cn/tzg/xwdt.htm,LIST_FAIL (列表页 HTTP 503: https://kyb.sztu.edu.cn/tzg/xwdt.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
future-tzgg,未来技术学院通知,通知公告,https://futuretechnologyschool.sztu.edu.cn/xw_hd/tzgg1/jw.htm,LIST_FAIL (列表页 HTTP 503: https://futuretechnologyschool.sztu.edu.cn/xw_hd/tzgg1/jw.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
cmnf-zxdt,微纳中心动态,新闻动态,https://cmnf.sztu.edu.cn/xwzx/zxdt.htm,LIST_FAIL (列表页 HTTP 503: https://cmnf.sztu.edu.cn/xwzx/zxdt.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
hr-rszd,人事制度,规章制度,https://hr.sztu.edu.cn/rszd.htm,LIST_FAIL (列表页 HTTP 503: https://hr.sztu.edu.cn/rszd.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
xxjs-rgzn,新一代信息技术研究院人工智能方向,科研学术,https://xxjs.sztu.edu.cn/yjfx/rgzn.htm,LIST_FAIL (列表页 HTTP 503: https://xxjs.sztu.edu.cn/yjfx/rgzn.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
sao-xwxx,党委学工部新闻信息,新闻动态,https://sao.sztu.edu.cn/xwxx.htm,LIST_FAIL (列表页 HTTP 503: https://sao.sztu.edu.cn/xwxx.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
tusports-jxdt,体艺学院教学动态,学生工作,https://tusports.sztu.edu.cn/dhlb.jsp?urltype=tree.TreeTempUrl&wbtreeid=1043&a1020514p=1&a1020514c=20,LIST_FAIL (列表页 HTTP 503: https://tusports.sztu.edu.cn/dhlb.jsp?urltype=tree.TreeTempUrl&wbtreeid=1043&a1020514p=1&a1020514c=20),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
jw-xxg,信息公告,通知公告,https://jw.sztu.edu.cn/xxg.htm,LIST_FAIL (列表页 HTTP 503: https://jw.sztu.edu.cn/xxg.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
sgim-tzgg,中德学院通知,通知公告,https://sgim.sztu.edu.cn/list2022.jsp?urltype=tree.TreeTempUrl&wbtreeid=1045&a1020514p=1&a1020514c=20,LIST_FAIL (列表页 HTTP 503: https://sgim.sztu.edu.cn/list2022.jsp?urltype=tree.TreeTempUrl&wbtreeid=1045&a1020514p=1&a1020514c=20),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
ai-tzgg,人工智能学院通知,科研学术,https://ai.sztu.edu.cn/xwzx/tzgg1/qb.htm,LIST_FAIL (列表页 HTTP 503: https://ai.sztu.edu.cn/xwzx/tzgg1/qb.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
jyzd-gzdt,就业工作动态,新闻动态,https://jyzd.sztu.edu.cn/list-noPicture.jsp?urltype=tree.TreeTempUrl&wbtreeid=1013&a1020514p=1&a1020514c=20,LIST_FAIL (列表页 HTTP 503: https://jyzd.sztu.edu.cn/list-noPicture.jsp?urltype=tree.TreeTempUrl&wbtreeid=1013&a1020514p=1&a1020514c=20),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
fxcs-xw,分析测试中心新闻,新闻动态,https://fxcszx.sztu.edu.cn/index/zxxw.htm,LIST_FAIL (列表页 HTTP 503: https://fxcszx.sztu.edu.cn/index/zxxw.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
