timestamp,userId,total_borrows,total_auth_fails
2026-05-01T03:00:00.012083600Z,__none__,0,0
2026-05-01T04:00:00.007642300Z,__none__,0,0
2026-05-01T05:00:00.014786Z,__none__,0,0
2026-05-01T06:00:00.002549200Z,202200202104,246,3
2026-05-01T07:00:00.001984600Z,202200202104,541,3
2026-05-01T08:00:00.002513800Z,202200202104,837,3
2026-05-01T09:00:00.007929800Z,202200202104,1137,3
2026-05-01T10:00:00.011034Z,202200202104,1433,3
2026-05-01T11:00:00.013768100Z,202200202104,1732,3
2026-05-01T12:00:00.011708700Z,202200202104,2031,3
2026-05-01T13:00:00.012192800Z,202200202104,225,1
2026-05-01T14:00:00.010557800Z,202200202104,346,1
2026-05-01T15:00:00.004743400Z,202200202104,346,1
2026-05-01T16:00:00.001607400Z,202200202104,597,4
2026-05-01T17:00:00.014650900Z,202200202104,896,4
2026-05-01T18:00:00.016978500Z,202200202104,85,1
2026-05-01T19:00:00.012630700Z,202200202104,200,1
2026-05-01T20:00:00.009657200Z,202200202104,501,1
2026-05-01T21:00:00.008703200Z,202200202104,796,1
2026-05-01T22:00:00.008138800Z,202200202104,1085,1
2026-05-01T23:00:00.002560900Z,202200202104,1384,1
2026-05-02T00:00:00.008493300Z,202200202104,1682,1
2026-05-02T01:00:00.004968700Z,202200202104,1980,1
2026-05-02T02:00:00.007501400Z,202200202104,2273,1
2026-05-02T03:00:00.008951500Z,202200202104,2501,1
2026-05-02T04:00:00.004131600Z,__none__,0,0
2026-05-02T05:00:00.013246900Z,202200202104,473,58
2026-05-02T06:00:00.012270200Z,202200202104,869,67
2026-05-02T07:00:00.013017600Z,202200202104,25,0
2026-05-02T08:00:00.005901800Z,202200202104,234,0
2026-05-02T09:00:00.008391700Z,202200202104,696,0
2026-05-02T10:00:00.007871500Z,202200202104,1169,0
2026-05-02T11:00:00.011457500Z,202200202104,1627,0
2026-05-02T12:00:00.005263500Z,202200202104,2101,0
2026-05-02T13:00:00.004025500Z,202200202104,2564,0
2026-05-02T14:00:00.006662300Z,202200202104,3038,0
2026-05-02T15:00:00.015730900Z,202200202104,3508,0
2026-05-02T16:00:00.008906100Z,202200202104,3974,0
2026-05-02T17:00:00.013768100Z,202200202104,4436,0
2026-05-02T18:00:00.003519200Z,202200202104,4903,0
2026-05-02T19:00:00.013167300Z,202200202104,5371,0
2026-05-02T20:00:00.010032200Z,202200202104,5836,0
2026-05-02T21:00:00.011926700Z,202200202104,6310,0
2026-05-02T22:00:00.010245100Z,202200202104,6774,0
2026-05-02T23:00:00.001457600Z,202200202104,7341,0
2026-05-03T00:00:00.001946400Z,202200202104,9610,0
2026-05-03T01:00:00.006002200Z,202200202104,11878,0
2026-05-03T02:00:00.006488100Z,202200202104,14147,0
2026-05-03T03:00:00.012483Z,202200202104,15773,0
2026-05-03T04:00:00.013524800Z,202200202104,15844,0
2026-05-03T05:00:00.005554400Z,202200202104,16231,0
2026-05-03T06:00:00.011110400Z,202200202104,16231,0
2026-05-03T07:00:00.011224Z,202200202104,16231,0
2026-05-03T08:00:00.008060800Z,202200202104,16231,0
2026-05-03T09:00:00.006356700Z,202200202104,16384,3
2026-05-03T10:00:00.009557400Z,202200202104,16847,3
2026-05-03T11:00:00.009423400Z,202200202104,17315,4
2026-05-03T12:00:00.002291400Z,202200202104,17777,5
2026-05-03T13:00:00.007484800Z,202200202104,18223,5
2026-05-03T14:00:00.009966Z,202200202104,18616,5
2026-05-03T15:00:00.005507600Z,202200202104,420,0
2026-05-03T16:00:00.007981500Z,202200202104,880,0
2026-05-03T17:00:00.010254Z,202200202104,1349,0
2026-05-03T18:00:00.013846600Z,202200202104,1817,0
2026-05-03T19:00:00.012220500Z,202200202104,2286,0
2026-05-03T20:00:00.001034900Z,202200202104,2749,0
2026-05-03T21:00:00.008518400Z,202200202104,3218,0
2026-05-03T22:00:00.005787500Z,202200202104,3676,0
2026-05-03T23:00:00.003918700Z,202200202104,4149,0
2026-05-04T00:00:00.002165Z,202200202104,4612,0
2026-05-04T01:00:00.010295Z,202200202104,5072,0
2026-05-04T02:00:00.008384200Z,202200202104,5540,0
2026-05-04T03:00:00.009664500Z,202200202104,6008,0
2026-05-04T04:00:00.008474400Z,202200202104,6471,0
2026-05-04T05:00:00.013190200Z,202200202104,6940,0
2026-05-04T06:00:00.005717400Z,202200202104,7408,0
2026-05-04T07:00:00.003979900Z,202200202104,7872,0
2026-05-04T08:00:00.005571700Z,202200202104,8340,0
2026-05-04T09:00:00.013445900Z,202200202104,8808,0
2026-05-04T10:00:00.009313800Z,202200202104,9271,0
2026-05-04T11:00:00.004677Z,202200202104,9736,0
2026-05-04T12:00:00.012119700Z,202200202104,10200,0
2026-05-04T13:00:00.001082400Z,202200202104,10663,0
2026-05-04T14:00:00.007098400Z,202200202104,11135,0
2026-05-04T15:00:00.010805Z,202200202104,11593,0
2026-05-04T16:00:00.006390600Z,202200202104,12031,0
2026-05-04T17:00:00.012729900Z,202200202104,12031,0
2026-05-09T04:00:00.002399Z,202200202104,241,0
2026-05-09T05:00:00.007148200Z,202200202104,709,0
2026-05-09T06:00:00.010337700Z,202200202104,1173,0
2026-05-09T07:00:00.013120100Z,202200202104,1641,0
2026-05-09T08:00:00.008311100Z,202200202104,2106,0
2026-05-09T09:00:00.001171800Z,202200202104,2574,0
2026-05-09T10:00:00.013403700Z,202200202104,3171,0
2026-05-09T11:00:00.006426700Z,202200202104,3633,0
2026-05-09T12:00:00.002012300Z,202200202104,4098,0
2026-05-09T13:00:00.001884300Z,202200202104,4555,0
2026-05-09T14:00:00.015313Z,202200202104,5020,0
2026-05-09T15:00:00.015410100Z,202200202104,208,0
